한글 종목약명,단축코드,corp_code
AJ네트웍스,95570,365387
AK홀딩스,6840,125080
BGF리테일,282330,1263022
BGF,27410,219097
BNK금융지주,138930,858364
BYC,1460,122579
CJ,1040,148540
CJ씨푸드,11150,129013
CS홀딩스,590,149026
DB,12030,163345
DB금융투자,16610,115694
DB손해보험,5830,159102
DB하이텍,990,160843
DGB금융지주,139130,878915
DI동일,1530,118345
DL,210,109693
DL이앤씨,375500,1524093
DSR,155660,110608
DSR제강,69730,151298
DS단석,17860,108612
E1,17940,165583
ESR켄달스퀘어리츠,365550,1437186
F&F,383220,1568413
F&F홀딩스,7700,126487
GS건설,6360,120030
GS,78930,500254
HDC,12630,164636
HDC현대산업개발,294870,1310269
HJ중공업,97230,633835
HL D&I,14790,161116
HL만도,204320,1042775
HL홀딩스,60980,299002
HS애드,35000,140168
IHQ,3560,154426
JB금융지주,175330,980122
JW생명과학,234080,225706
JW중외제약,1060,149947
JW홀딩스,96760,632304
KB금융,105560,688996
KB스타리츠,432320,1622720
KCTC,9070,103042
KG모빌리티,3620,138242
KG스틸,16380,115676
KG케미칼,1390,101220
KH 필룩스,33180,193009
KISCO홀딩스,1940,159740
KPX케미칼,25000,191472
KPX홀딩스,92230,587466
KR모터스,40,112378
LF,93050,593032
LG디스플레이,34220,105873
LG,3550,120021
LG생활건강,51900,356370
LG에너지솔루션,373220,1515323
LG유플러스,32640,231363
LG이노텍,11070,105961
LG전자,66570,401731
LG화학,51910,356361
LIG넥스원,79550,503668
LS ELECTRIC,10120,105855
LS네트웍스,680,104698
LS,6260,105952
LS에코에너지,229640,1093007
LX세미콘,108320,525934
LX인터내셔널,1120,120076
MH에탄올,23150,121534
NAVER,35420,266961
NHN,181710,983271
NH프라임리츠,338100,1391033
NICE,34310,158316
NI스틸,8260,116301
NPC,4250,108038
OCI,456040,1760738
S-Oil,10950,138279
SGC에너지,5090,125150
SG글로벌,1380,152039
SHD,1770,137809
SH에너지화학,2360,136457
SIMPAC,9160,138260
SJM,123700,815369
SJM홀딩스,25530,181943
SKC,11790,139889
SK가스,18670,144164
SK네트웍스,1740,131780
SK디앤디,210980,508344
SK리츠,395400,1535150
SK,34730,181712
SK스퀘어,402340,1596425
SK아이이테크놀로지,361610,1386916
SK오션플랜트,100090,480367
SK이노베이션,96770,631518
SK증권,1510,131850
SK케미칼,285130,1267170
SK텔레콤,17670,159023
SNT다이내믹스,3570,134477
SNT모티브,64960,398792
SNT에너지,100840,648721
SNT홀딩스,36530,225159
SPC삼립,5610,125530
STX그린로지스,465770,1784394
STX,11810,138297
STX엔진,77970,480455
TBH글로벌,84870,409672
TCC스틸,2710,117300
WISCOM,24070,142865
가온전선,500,104768
강남제비스코,860,100939
강원랜드,35250,255619
갤럭시아에스엠,11420,129554
경농,2100,101433
경동나비엔,9450,101488
경동도시가스,267290,1208885
경동인베스트,12320,143527
경방,50,101628
경보제약,214390,101664
경인양행,12610,102113
경인전자,9140,102140
계룡건설,13580,102432
계양전기,12200,102618
고려산업,2140,102751
고려아연,10130,102858
고려제강,2240,103006
광동제약,9290,103592
광명전기,17040,103662
광전자,17900,152729
광주신세계,37710,220561
교보증권,30610,113359
교촌에프앤비,339770,453284
국도화학,7690,104388
국동,5320,168331
국보,1140,104519
국제약품,2720,104722
GKL,114090,557508
그린케미칼,83420,454946
극동유화,14530,105156
금강공업,14280,105299
금비,8870,168401
금양,1570,106119
금호건설,2990,106313
금호석유,11780,106368
금호에이치티,214330,105606
금호전기,1210,106395
금호타이어,73240,481454
기신정기,92440,106614
기아,270,106641
까뮤이앤씨,13700,129420
깨끗한나라,4540,113492
NICE평가정보,30190,158325
남광토건,1260,107066
남선알미늄,8350,107224
남성,4270,172185
남양유업,3920,107598
남해화학,25860,107987
넥센,5720,167192
넥센타이어,2350,173874
넥스틸,92790,220613
넷마블,251270,904672
노루페인트,90350,583442
노루홀딩스,320,113508
녹십자,6280,129679
녹십자홀딩스,5250,108135
농심,4370,108241
농심홀딩스,72710,459871
다스코,58730,353878
다올투자증권,30210,156859
다우기술,23590,176914
다이나믹디자인,145210,453488
대교,19680,108913
대구백화점,6370,108977
대덕,8060,109189
대덕전자,353200,1478712
대동,490,109286
대동전자,8110,157104
대림B&Co,5750,109754
대림통상,6570,109824
대상,1680,121941
대상홀딩스,84690,539274
대성산업,128820,828789
대성에너지,117580,787376
대성홀딩스,16710,108940
대신증권,3540,110893
대양금속,9190,111111
대영포장,14160,111458
대우건설,47040,124540
대우부품,9320,111689
대웅,3090,111810
대웅제약,69620,427483
대원강업,430,111847
대원전선,6340,260392
대원제약,3220,111999
대원화성,24890,112022
대유에이텍,2880,149804
대유플러스,300,126089
대창단조,15230,112679
대창,12800,112651
대한방직,1070,112970
대한유화,6650,260383
대한전선,1440,113207
대한제강,84010,113225
대한제당,1790,113234
대한제분,1130,113243
대한항공,3490,113526
대한해운,5880,113535
대한화섬,3830,113544
대현,16090,113614
대호에이엘,69460,428729
더블유게임즈,192080,1010110
더존비즈온,12510,172291
덕성,4830,114093
덕양산업,24900,114154
덴티움,145720,526599
도화엔지니어링,2150,114552
동국씨엠,460850,1765256
동국제강,460860,1765265
동국홀딩스,1230,114792
동방,4140,115287
동방아그로,7590,115384
동부건설,5960,115612
동서,26960,144395
동성제약,2210,116268
동성케미컬,102260,679314
동아쏘시오홀딩스,640,116824
동아에스티,170900,956930
동아지질,28100,178754
동양고속,84670,540641
동양,1520,117337
동양생명,82640,117267
동양철관,8970,117629
동양피스톤,92780,117726
동원F&B,49770,340917
동원금속,18500,118008
동원산업,6040,118026
동원수산,30720,118044
동원시스템즈,14820,132637
동인기연,111380,367710
동일고무벨트,163560,939687
동일산업,4890,172936
동일제강,2690,118451
동화약품,20,119195
두산로보틱스,454910,1105153
두산밥캣,241560,1032486
두산,150,117212
두산에너빌리티,34020,159616
두산퓨얼셀,336260,1412725
두올,16740,119672
드림텍,192650,415646
디씨엠,24090,177199
디아이,3160,118275
디아이씨,92200,112165
DRB동일,4840,118266
디앤디플랫폼리츠,377190,1475609
DN오토모티브,7340,116949
디와이,13570,117179
디와이파워,210540,1059605
락앤락,115390,561866
롯데관광개발,32350,231372
롯데렌탈,89860,545716
롯데리츠,330590,1363818
롯데손해보험,400,113562
롯데쇼핑,23530,120526
롯데에너지머티리얼즈,20150,113997
롯데웰푸드,280360,1258507
롯데이노베이트,286940,1262032
롯데정밀화학,4000,157681
롯데지주,4990,120562
롯데칠성,5300,120571
롯데케미칼,11170,165413
롯데하이마트,71840,158307
마니커,27740,204208
마스턴프리미어리츠,357430,1442966
만호제강,1080,120872
맥쿼리인프라,88980,435297
메리츠금융지주,138040,860332
메타랩스,90370,442835
메타케어,118000,791209
명문제약,17180,121039
명신산업,9900,173078
모나리자,12690,173102
모나미,5360,121288
모나용평,70960,365989
모토닉,9680,151128
무림페이퍼,9200,136086
무림P&P,9580,119007
무학,33920,121543
문배철강,8420,121570
미래산업,25560,197759
미래아이앤지,7120,104786
미래에셋글로벌리츠,396690,1576102
미래에셋맵스리츠,357250,1437292
맵스리얼티1,94800,600013
미래에셋생명,85620,112332
미래에셋증권,6800,111722
미원상사,2840,121932
미원에스씨,268280,1234297
미원홀딩스,107590,706715
미원화학,134380,855163
미창석유,3650,122056
바이오노트,377740,622787
방림,3610,122348
백광산업,1340,122472
백산,35150,122551
범양건영,2410,122694
벽산,7210,122898
보락,2760,123107
보령,3850,123143
보해양조,890,123541
부광약품,3000,123718
부국증권,1270,123772
부국철강,26940,123781
부산산업,11390,124027
부산주공,5030,124151
비비안,2070,107677
비상교육,100220,520887
비에이치,90460,447609
빙그레,5180,124726
사조대림,3960,109718
사조동아원,8040,137252
사조산업,7160,124799
사조씨푸드,14710,124780
사조오양,6090,141875
산일전기,62040,366438
삼부토건,1470,125974
삼성E&A,28050,126308
삼성FN리츠,448730,1688896
삼성SDI,6400,126362
삼성공조,6660,126201
삼성물산,28260,149655
삼성바이오로직스,207940,877059
삼성생명,32830,126256
삼성에스디에스,18260,126186
삼성전기,9150,126371
삼성전자,5930,126380
삼성제약,1360,126414
삼성중공업,10140,126478
삼성증권,16360,104856
삼성출판사,68290,423690
삼성카드,29780,126292
삼성화재,810,139214
삼아알미늄,6110,126779
삼양사,145990,896285
삼양식품,3230,126955
삼양통상,2170,127042
삼양패키징,272550,1060814
삼양홀딩스,70,126937
삼영무역,2810,127167
삼영,3720,127255
삼영전자,5680,127200
삼원강재,23000,191588
삼익THK,4380,127802
삼익악기,2450,127857
삼일씨엔에스,4440,109806
삼일제약,520,128032
삼정펄프,9770,128227
삼진제약,5500,128412
삼천리,4690,128555
삼호개발,10960,128980
삼화왕관,4450,129235
삼화전기,9470,129271
삼화전자,11230,129280
삼화콘덴서,1820,129350
삼화페인트,390,129387
상상인증권,1290,112059
상신브레이크,41650,129642
새론오토모티브,75180,305668
샘표,7540,130091
샘표식품,248170,1167056
서연,7860,163114
서연이화,200880,1036446
서울가스,17390,130684
서울식품,4410,130879
서원,21050,131197
서흥,8490,131692
선도전기,7610,131939
SUN&L,2820,132211
선진,136490,855093
성문전자,14910,132628
성보화학,3080,132725
성신양회,4980,132804
성안머티리얼스,11300,132868
성창기업지주,180,133335
세기상사,2420,133618
세방,4360,133812
세방전지,4490,133858
세아베스틸지주,1430,106669
세아제강,306200,1325979
세아제강지주,3030,124197
세아특수강,19440,133991
세아홀딩스,58650,377610
세우글로벌,13000,134176
세원이앤씨,91090,585219
세원정공,21820,134316
세이브존I&C,67830,422895
세진중공업,75580,415628
셀트리온,68270,413046
솔루스첨단소재,336370,1412822
솔루엠,248070,1159233
송원산업,4430,134963
수산인더스트리,126720,193328
수산중공업,17550,135111
스타에스엠리츠,204210,1035289
스틱인베스트먼트,26890,117498
시디즈,134790,852087
CR홀딩스,480,148984
시프트업,462870,1384787
신대양제지,16590,135777
신도리코,29530,135795
신라교역,4970,135962
신성이엔지,11930,136271
신성통상,5390,136341
신세계건설,34300,217947
신세계,4170,136378
신세계 I&C,35510,219486
신세계인터내셔날,31430,234412
신세계푸드,31440,274933
신송홀딩스,6880,136402
신영와코루,5800,136624
신영증권,1720,136721
신원,9270,136864
신일전자,2700,173698
신풍,2870,137368
신풍제약,19170,137359
신한글로벌액티브리츠,481850,1714997
신한지주,55550,382199
신한서부티엔디리츠,404990,1436558
신한알파리츠,293940,1276594
신흥,4080,173795
쌍방울,102280,681142
써니전자,4770,138057
쏘카,403550,1026157
씨아이테크,4920,127158
씨에스윈드,112610,670340
CJ대한통운,120,113410
CJ CGV,79160,303873
CJ제일제당,97950,635134
씨티알모빌리티,308170,450010
아남전자,8700,138516
아모레G,2790,154462
아모레퍼시픽,90430,583424
아세아,2030,138701
아세아시멘트,183190,990165
아세아제지,2310,138729
아센디오,12170,145437
아시아나IDT,267850,458234
아시아나항공,20560,138792
아이마켓코리아,122900,360142
아이에스동서,10780,115977
아주스틸,139990,486705
알루코,1780,117027
애경산업,18250,139454
애경케미칼,161000,936787
에넥스,11090,139764
에스디바이오센서,137310,854997
SBS,34120,130772
에스엘,5850,125521
에스엠벡셀,10580,147860
에스원,12750,158501
SJG세종,33530,134510
SG세계물산,4060,133511
SK디스커버리,6120,131832
SK바이오사이언스,302440,1319899
SK바이오팜,326030,878696
SK이터닉스,475150,1817081
SK하이닉스,660,164779
에쓰씨엔지니어링,23960,121969
에어부산,298690,651901
에이블씨엔씨,78520,400857
에이엔피,15260,143314
에이리츠,140910,860730
HDC랩스,39570,350312
HDC현대EP,89470,357935
HD한국조선해양,9540,164830
HD현대건설기계,267270,1205842
HD현대마린솔루션,443060,1194689
HD현대마린엔진,71970,406046
HD현대미포,10620,164609
HD현대,267250,1205709
HD현대에너지솔루션,322000,1199550
HD현대인프라코어,42670,344287
HD현대일렉트릭,267260,1205851
HD현대중공업,329180,1390344
HS화성,2460,174527
HS효성,487570,1854763
HS효성첨단소재,298050,1316254
HLB글로벌,3580,169048
HMM,11200,164645
